iter	Passed	Remaining
0	0	93
1	1	80
2	2	74
3	2	68
4	3	67
5	4	66
6	5	67
7	5	67
8	6	66
9	7	65
10	7	64
11	8	63
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	12	58
18	13	58
19	14	57
20	15	56
21	15	55
22	16	55
23	17	54
24	17	53
25	18	52
26	19	52
27	20	52
28	21	51
29	21	51
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	29	43
40	29	43
41	30	41
42	31	41
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	19
74	54	18
75	55	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	70	3
95	70	2
96	71	2
97	72	1
98	72	0
99	73	0
